className	classLabel	conceptBaseName	conceptID	prefLabelFr	prefLabelEn	broaderConceptID	definition
Material	Matériau						Définit le matériau constituant une œuvre
Material		material	1	Materiau			Définit le matériau constituant une œuvre
Material		material	2	Bois polychromé		1	
Material		material	3	Pierre polychromée		1	
Material		material	4	Peinture murale		1	
Material		material	5	Tilleul		1	
Material		material	6	Pierre de Seyssel		1	
